,event_id,attack_type,success,suicide,weapon_type,individual,nperps,nperps_cap,host_kid,nhost_kid,host_kid_hours,host_kid_days,ransom,ransom_amt,ransom_amt_paid,total_killed,perps_killed,total_wounded,perps_wounded,property_dmg,property_dmg_value
0,201912270012,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
1,201912270013,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0
2,201912270014,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0
3,201912270015,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,201912270016,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
5,201912270017,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,201912270018,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,201912270019,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,201912270020,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,201912270024,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
10,201912270025,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
11,201912270026,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
12,201912280001,Bombing/Explosion,1,1,Explosives,0,0,0,0,0,0,0,0,0,0,84,1,148,0,1,0
13,201912280002,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
14,201912280003,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,10,0,4,0,1,0
15,201912280004,Hostage Taking (Kidnapping),1,0,Firearms,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
16,201912280005,Hostage Taking (Kidnapping),1,0,Firearms,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
17,201912280006,Bombing/Explosion,0,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,201912280007,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,201912280008,Armed Assault,1,0,Melee,1,1,1,0,0,0,0,0,0,0,1,0,4,0,0,0
20,201912280010,Bombing/Explosion,1,0,Explosives,0,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0
21,201912280011,Assassination,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,201912280012,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,201912280016,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
24,201912280017,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,201912280018,Hostage Taking (Kidnapping),1,0,Unknown,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0,0
26,201912280019,Assassination,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,201912280020,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
28,201912280021,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
29,201912280022,Facility/Infrastructure Attack,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,201912280023,Facility/Infrastructure Attack,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,201912280024,Facility/Infrastructure Attack,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,201912280027,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
33,201912290002,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,201912290004,Bombing/Explosion,0,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,201912290005,Hostage Taking (Kidnapping),1,0,Firearms,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
36,201912290006,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
37,201912290007,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,27,10,4,0,0,0
38,201912290008,Bombing/Explosion,1,0,Explosives,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,201912290009,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,201912290010,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,201912290011,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,201912290012,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,201912290013,Bombing/Explosion,1,0,Explosives,0,0,3,0,0,0,0,0,0,0,7,0,25,0,1,0
44,201912290014,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,201912290015,Hostage Taking (Kidnapping),1,0,Firearms,0,0,0,1,17,0,0,0,0,0,1,0,0,0,1,0
46,201912290017,Bombing/Explosion,1,0,Explosives,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,201912290018,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
48,201912290019,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0
49,201912290020,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,24,0,17,0,0,0
50,201912290021,Bombing/Explosion,0,0,Explosives,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,201912290022,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0
52,201912300002,Armed Assault,1,0,Firearms,0,0,0,-9,0,0,0,0,0,0,21,7,10,5,0,0
53,201912300003,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
54,201912300005,Facility/Infrastructure Attack,1,0,Incendiary,0,0,0,-9,0,0,0,0,0,0,18,0,0,0,1,0
55,201912300007,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
56,201912300009,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
57,201912300012,Hostage Taking (Kidnapping),1,0,Firearms,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0
58,201912300013,Facility/Infrastructure Attack,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,201912300014,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0
60,201912300015,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,201912300016,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
62,201912300028,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0
63,201912300029,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
64,201912300030,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
65,201912300031,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
66,201912300032,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
67,201912300033,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
68,201912300034,Unknown,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
69,201912300035,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0
70,201912310001,Facility/Infrastructure Attack,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,201912310002,Facility/Infrastructure Attack,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,201912310003,Facility/Infrastructure Attack,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,201912310004,Facility/Infrastructure Attack,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,201912310005,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,201912310006,Facility/Infrastructure Attack,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,201912310007,Facility/Infrastructure Attack,0,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,201912310008,Facility/Infrastructure Attack,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,201912310009,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0
79,201912310011,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,18,11,7,5,0,0
80,201912310012,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0
81,201912310013,Armed Assault,1,0,Firearms,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,201912310014,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
83,201912310015,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
84,201912310016,Facility/Infrastructure Attack,1,0,Firearms,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,201912310017,Unarmed Assault,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
86,201912310018,Hostage Taking (Kidnapping),1,0,Unknown,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
87,201912310019,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
88,201912310021,Assassination,1,0,Firearms,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
