,event_id,group_name,year,month,day,region,country,provstate,city,target,total_killed
0,201912280011,Unknown,Chief of Nadiaboanli Village,2019,12,28,Sub-Saharan Africa,Burkina Faso,Est,Nadiaboanli,1
1,201912300033,Taliban,Security Post,2019,12,30,South Asia,Afghanistan,Kandahar,Khakrez district,6
2,201912280010,Rashtriya Swayamsevak Sangh,Church,2019,12,29,South Asia,India,West Bengal,Shivrampur,0
3,201912310015,Taliban,Vehicle,2019,12,31,South Asia,Afghanistan,Herat,Qala-e-Rig,1
4,201912280027,Allied Democratic Forces (ADF),Pub,2019,12,28,Sub-Saharan Africa,Democratic Republic of the Congo,North Kivu,Beni,0
5,201912310002,Taliban,Tower,2019,12,31,South Asia,Afghanistan,Jawzjan,Darzab district,0
6,201912300013,New Peoples Army (NPA),Tribal Livelihood Center,2019,12,30,Southeast Asia,Philippines,Davao de Oro,Panansalan,0
7,201912300007,Taliban,Vehicle,2019,12,30,South Asia,Afghanistan,Helmand,Sarkhas,3
8,201912290022,Jamaat Nusrat al-Islam wal Muslimin (JNIM),Komabangou Police Station,2019,12,29,Sub-Saharan Africa,Niger,Tillaberi,Komabangou,2
9,201912280004,Maoists,Alleged Informant: Mughal Koda,2019,12,28,South Asia,India,Bihar,Baskund,1
10,201912270014,Unknown,Vehicle,2019,12,27,South Asia,Afghanistan,Jawzjan,Fayzabad district,2
11,201912290012,Unknown,Village,2019,12,29,Sub-Saharan Africa,Mali,Mopti,Zerema,1
12,201912280024,Unknown,Church,2019,12,28,Sub-Saharan Africa,Sudan,Blue Nile,Baw,0
13,201912280002,Unknown,Workers,2019,12,28,South Asia,Afghanistan,Herat,Herat,2
14,201912280016,Taliban,Members,2019,12,28,South Asia,Afghanistan,Faryab,Almar district,2
15,201912300029,Taliban,Security Post,2019,12,30,South Asia,Afghanistan,Kandahar,Arghistan district,7
16,201912300015,Iran-backed militia,Protestor: Ali Al-Khafaji,2019,12,30,Middle East & North Africa,Iraq,Dhi Qar,Nasiriyah,1
17,201912280019,Unknown,Commissioner: Ali Ibrahim Yassin,2019,12,28,Middle East & North Africa,Iraq,Karbala,Karbala,1
18,201912310003,Taliban,Tower,2019,12,31,South Asia,Afghanistan,Jawzjan,Darzab district,0
19,201912310032,Unknown,Civilian,2019,12,31,South Asia,India,Jammu and Kashmir,Bagiot Dora,0
20,201912280017,Taliban,Outpost,2019,12,28,South Asia,Afghanistan,Sari Pul,Unknown,1
21,201912290020,Tribesmen,Internally Displaced Persons (IDP) Camp,2019,12,29,Sub-Saharan Africa,Sudan,West Darfur,El Geneina,24
22,201912280006,Unknown,Unknown,2019,12,28,South Asia,Pakistan,Khyber Pakhtunkhwa,Mamund,0
23,201912300028,Taliban,Security Post,2019,12,30,South Asia,Afghanistan,Kandahar,Badi Ghondai,27
24,201912290009,Bangladesh Nationalist Party (BNP),Vehicle of Professor: CR Abrar,2019,12,29,South Asia,Bangladesh,Dhaka,Dhaka,0
25,201912310025,Arakan Army (AA),Road Administration Department Employees,2019,12,31,South Asia,Afghanistan,Sari Pul,Unknown,0
26,201912310001,Taliban,Tower,2019,12,31,South Asia,Afghanistan,Jawzjan,Darzab district,0
27,201912280020,Islamic State of Iraq and the Levant (ISIL),Headquarters,2019,12,28,Middle East & North Africa,Iraq,Nineveh,Mosul,6
28,201912310008,Communist Party of Nepal - Maoist (CPN-Maoist-Chand),Telecommunications Tower,2019,12,31,South Asia,Nepal,Karnali,Bheriganga,0
29,201912280007,Unknown,Marketplace,2019,12,28,South Asia,India,Manipur,Imphal,0
30,201912310022,New Peoples Army (NPA),Tribal Leader: Bontola Tinaghao Mansinugdan,2019,12,31,Southeast Asia,Philippines,Agusan del Sur,Kinamaybay,1
31,201912300014,New Peoples Army (NPA),Soldier,2019,12,30,Southeast Asia,Philippines,Davao de Oro,Pantukan district,2
32,201912280018,Taliban,Outpost,2019,12,28,South Asia,Afghanistan,Baghlan,Chahar Shanbeh Tepa,4
33,201912310014,Unknown,Civilians,2019,12,31,South Asia,Afghanistan,Herat,Gulran district,1
34,201912310011,Taliban,Joint Convoy,2019,12,31,South Asia,Afghanistan,Takhar,Bandar,18
35,201912300031,Taliban,Security Post,2019,12,30,South Asia,Afghanistan,Kandahar,Shah Wali Kot district,6
36,201912290019,Taliban,Vehicle,2019,12,29,South Asia,Afghanistan,Sari Pul,Balghali,2
37,201912310018,Al-Islah Party,Oil Office General Director: Al-Khader Ali Salem Buglida,2019,12,31,Middle East & North Africa,Yemen,Shabwah,Ataq district,0
38,201912310013,Taliban,Civilians,2019,12,31,South Asia,Afghanistan,Balkh,Konjak,1
39,201912270018,Boko Haram,Village,2019,12,27,Sub-Saharan Africa,Nigeria,Borno,Maina Hari,0
40,201912270019,Boko Haram,Village,2019,12,27,Sub-Saharan Africa,Nigeria,Borno,Miringa,0
41,201912300016,Islamic State of Iraq and the Levant (ISIL),School,2019,12,30,Middle East & North Africa,Iraq,Al Anbar,Fallujah,5
42,201912290004,Unknown,Unknown,2019,12,29,South Asia,India,Jammu and Kashmir,Keri,0
43,201912310016,Tritiya Prastuti Committee (TPC),Site,2019,12,31,South Asia,India,Jharkhand,Malhan,0
44,201912270016,Unknown,Vehicle,2019,12,27,South Asia,Afghanistan,Helmand,Nawa-i-Barakzayi district,1
45,201912290018,Unknown,Patrol,2019,12,29,South Asia,Afghanistan,Badghis,Sang Atesh,2
46,201912270013,Unknown,Vehicle,2019,12,27,South Asia,Afghanistan,Badakhshan,Darwazbala district,1
47,201912300003,Bangladesh Nationalist Party (BNP),University,2019,12,30,South Asia,Bangladesh,Dhaka,Dhaka,0
48,201912290017,Unknown,Office,2019,12,29,South Asia,Bangladesh,Dhaka,Dhaka,0
49,201912310028,Unknown,Residence of Tribal Leader,2019,12,31,Middle East & North Africa,Iraq,Baghdad,Baghdad,0
50,201912280008,Anti-Semitic extremists,Residence of Rabbi: Chaim Rottenberg,2019,12,28,North America,United States,New York,Monsey,1
51,201912310009,Unknown,Post,2019,12,31,Sub-Saharan Africa,Burkina Faso,Sahel,Djibo,10
52,201912300034,Taliban,Security Post,2019,12,30,South Asia,Afghanistan,Kandahar,Maywand district,6
53,201912290015,Boko Haram,Church,2019,12,29,Sub-Saharan Africa,Nigeria,Borno,Mandaragirau,1
54,201912280001,Al-Shabaab,Engineers,2019,12,28,Sub-Saharan Africa,Somalia,Banaadir,Mogadishu,84
55,201912280023,Unknown,Church,2019,12,28,Sub-Saharan Africa,Sudan,Blue Nile,Baw,0
56,201912290006,Unknown,Vehicle of Official: Derrow Hillow Mahat,2019,12,29,Sub-Saharan Africa,Kenya,Mandera,Jabbi,0
57,201912280021,Islamic State of Iraq and the Levant (ISIL),Civilians,2019,12,28,Middle East & North Africa,Iraq,Nineveh,Hatra district,2
58,201912280003,Taliban,Base,2019,12,28,South Asia,Afghanistan,Helmand,Charkhakyan Manda,10
59,201912310023,Caucasus Province of the Islamic State,Checkpoint,2019,12,31,Eastern Europe,Russia,Ingushetia,Magas,2
