,longitude,latitude,region,country,provstate,city
0,36.025515,67.431945,South Asia,Afghanistan,Samangan,Dara-i-Sufi Payin district
1,38.249146,71.221025,South Asia,Afghanistan,Badakhshan,Darwazbala district
2,36.705451,66.361551,South Asia,Afghanistan,Jawzjan,Fayzabad district
3,32.251143,63.861172,South Asia,Afghanistan,Helmand,Washer district
4,31.343919,64.368889,South Asia,Afghanistan,Helmand,Nawa-i-Barakzayi district
5,10.65807,12.162782,Sub-Saharan Africa,Nigeria,Borno,Yamarkumi
6,10.67785,12.15688,Sub-Saharan Africa,Nigeria,Borno,Maina Hari
7,10.728288,12.145253,Sub-Saharan Africa,Nigeria,Borno,Miringa
8,10.942222,12.144167,Sub-Saharan Africa,Nigeria,Borno,Buratai
9,0.818127,29.239452,Sub-Saharan Africa,Democratic Republic of the Congo,Ituri,Lwemba
10,1.054487,29.147226,Sub-Saharan Africa,Democratic Republic of the Congo,Ituri,Teturi
11,0.670586,29.424918,Sub-Saharan Africa,Democratic Republic of the Congo,Ituri,Malutu
12,2.059818,45.326114,Sub-Saharan Africa,Somalia,Banaadir,Mogadishu
13,34.346721,62.197317,South Asia,Afghanistan,Herat,Herat
14,32.13307,65.017805,South Asia,Afghanistan,Helmand,Charkhakyan Manda
15,25.074193,86.221627,South Asia,India,Bihar,Baskund
16,24.597026,85.268442,South Asia,India,Bihar,Gobardaha
17,34.82528,71.36306,South Asia,Pakistan,Khyber Pakhtunkhwa,Mamund
18,24.797922,93.940517,South Asia,India,Manipur,Imphal
19,41.143138,-74.083084,North America,United States,New York,Monsey
20,22.031072,87.882021,South Asia,India,West Bengal,Shivrampur
21,11.703864,0.50111,Sub-Saharan Africa,Burkina Faso,Est,Nadiaboanli
22,33.303567,44.371771,Middle East & North Africa,Iraq,Baghdad,Baghdad
23,35.930602,64.339063,South Asia,Afghanistan,Faryab,Almar district
24,35.67075,66.04642,South Asia,Afghanistan,Sari Pul,Unknown
25,36.310085,68.826439,South Asia,Afghanistan,Baghlan,Chahar Shanbeh Tepa
26,32.604392,44.007145,Middle East & North Africa,Iraq,Karbala,Karbala
27,36.354146,43.143571,Middle East & North Africa,Iraq,Nineveh,Mosul
28,35.509131,42.572658,Middle East & North Africa,Iraq,Nineveh,Hatra district
29,11.330264,34.054687,Sub-Saharan Africa,Sudan,Blue Nile,Baw
32,0.495944,29.459606,Sub-Saharan Africa,Democratic Republic of the Congo,North Kivu,Beni
33,31.152052,76.968627,South Asia,India,Himachal Pradesh,Arki
